Frecuencia,Orientation,Categoria,tecla,FrecuenciaEspacial,Orden,Training.thisRepN,Training.thisTrialN,Training.thisN,Training.thisIndex,Test.thisRepN,Test.thisTrialN,Test.thisN,Test.thisIndex,Instrucciones1.started,Instrucciones1.stopped,key_resp_3.keys,key_resp_3.started,key_resp_3.stopped,Instrucciones2.started,Instrucciones2.stopped,key_resp_4.keys,key_resp_4.started,key_resp_4.stopped,Instrucciones3.started,Instrucciones3.stopped,key_resp_5.keys,key_resp_5.started,key_resp_5.stopped,instrucciones4.started,instrucciones4.stopped,key_resp_6.keys,key_resp_6.started,key_resp_6.stopped,Instrucciones5.started,Instrucciones5.stopped,key_resp_7.keys,key_resp_7.started,key_resp_7.stopped,KeyRespPrueba.keys,KeyRespPrueba.corr,KeyRespPrueba.rt,KeyRespPrueba.started,KeyRespPrueba.stopped,GratingPrueba.started,GratingPrueba.stopped,FeedbackPrueb.started,FeedbackPrueb.stopped,ComienzoTexto.started,ComienzoTexto.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,grating2.started,grating2.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,feedback_2.started,feedback_2.stopped,Gracias.started,Gracias.stopped,image.started,image.stopped,participant,session,date,expName,psychopyVersion,frameRate,
6.23036061399096,125.549882299659,D,right,0.0311518030699548,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.6343571000034,None,left,0,1.2303698000032455,73.73405940004159,None,74.99078009999357,None,,,,,Antonella,001,2022-11-29_14h33.01.621,PruebaGabor2,2022.1.3,59.882606151269144,
4.29814884017468,128.787297250169,C,left,0.0214907442008734,2,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.0849550999701,None,left,1,0.9310537999263033,76.18506739998702,None,77.13556550000794,None,,,,,Antonella,001,2022-11-29_14h33.01.621,PruebaGabor2,2022.1.3,59.882606151269144,
6.16923167429551,128.234172105707,D,right,0.03084615837147755,3,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.21890380000696,None,right,1,0.40570409991778433,78.31893229996786,None,78.75250800000504,None,,,,,Antonella,001,2022-11-29_14h33.01.621,PruebaGabor2,2022.1.3,59.882606151269144,
6.22238997797004,125.506457536291,D,right,0.0311119498898502,4,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.83616499998607,None,right,1,0.6278950000414625,79.93621680000797,None,80.5863683000207,None,,,,,Antonella,001,2022-11-29_14h33.01.621,PruebaGabor2,2022.1.3,59.882606151269144,
4.08180738017108,126.804790008955,C,left,0.0204090369008554,5,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.67016750003677,None,left,1,0.5787393000209704,81.77001810004003,None,82.37031789997127,None,,,,,Antonella,001,2022-11-29_14h33.01.621,PruebaGabor2,2022.1.3,59.882606151269144,
5.98071417673421,125.125631000143,D,right,0.02990357088367105,6,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.45398900005966,None,left,0,1.066881199949421,83.55389800004195,None,84.63827959995251,None,,,,,Antonella,001,2022-11-29_14h33.01.621,PruebaGabor2,2022.1.3,59.882606151269144,
6.09831842541326,126.29361036976,D,right,0.0304915921270663,7,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.72138780006208,None,right,1,0.8632162000285462,85.8212641000282,None,86.70494289998896,None,,,,,Antonella,001,2022-11-29_14h33.01.621,PruebaGabor2,2022.1.3,59.882606151269144,
6.24755672722504,130.752703805366,D,right,0.0312377836361252,8,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.78856640006416,None,right,1,0.6516000999836251,87.88888500002213,None,88.57249479996972,None,,,,,Antonella,001,2022-11-29_14h33.01.621,PruebaGabor2,2022.1.3,59.882606151269144,
6.06237586665924,124.235291425652,D,right,0.0303118793332962,9,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.65591440000571,None,right,1,0.5610514000291005,89.75586090004072,None,90.33941150002647,None,,,,,Antonella,001,2022-11-29_14h33.01.621,PruebaGabor2,2022.1.3,59.882606151269144,
4.36259076678281,123.731672255809,C,left,0.02181295383391405,10,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.42314930004068,None,left,1,0.4339019999606535,91.52303669997491,None,91.98986670002341,None,,,,,Antonella,001,2022-11-29_14h33.01.621,PruebaGabor2,2022.1.3,59.882606151269144,
4.17558325044733,128.727853845576,C,left,0.02087791625223665,11,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.07352259999607,None,left,1,0.7988979000365362,93.173822700046,None,93.99056219996419,None,,,,,Antonella,001,2022-11-29_14h33.01.621,PruebaGabor2,2022.1.3,59.882606151269144,
4.29792804290124,127.677859602201,C,left,0.0214896402145062,12,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0742009000387,None,left,1,0.6942914000246674,95.17410010006279,None,95.89118270005565,None,,,,,Antonella,001,2022-11-29_14h33.01.621,PruebaGabor2,2022.1.3,59.882606151269144,
5.98552035424824,121.912175716825,D,right,0.029927601771241197,13,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.97470210003667,None,right,1,0.4816781999543309,97.07468139997218,None,97.57507140003145,None,,,,,Antonella,001,2022-11-29_14h33.01.621,PruebaGabor2,2022.1.3,59.882606151269144,
5.92481994767326,127.932705335364,D,right,0.0296240997383663,14,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.65865009999834,None,left,0,1.3350586000597104,98.75859370001126,None,100.12725580006372,None,,,,,Antonella,001,2022-11-29_14h33.01.621,PruebaGabor2,2022.1.3,59.882606151269144,
4.2335650145177,125.188634705148,C,left,0.021167825072588502,15,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.22609660006128,None,left,1,0.6790094000753015,101.32599909999408,None,102.02670309995301,None,,,,,Antonella,001,2022-11-29_14h33.01.621,PruebaGabor2,2022.1.3,59.882606151269144,
6.3703290388659,126.308203409306,D,right,0.0318516451943295,16,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.11021620000247,None,right,1,0.6662765999790281,103.21002330002375,None,103.8935141999973,None,,,,,Antonella,001,2022-11-29_14h33.01.621,PruebaGabor2,2022.1.3,59.882606151269144,
4.23009518984663,116.848601301212,C,left,0.021150475949233152,17,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.97734950005542,None,left,1,0.7589219999499619,105.07723389996681,None,105.8608614000259,None,,,,,Antonella,001,2022-11-29_14h33.01.621,PruebaGabor2,2022.1.3,59.882606151269144,
6.33764164416274,121.087917975165,D,right,0.031688208220813696,18,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.94450179999694,None,right,1,0.6720162999117747,107.0447298999643,None,107.7448771999916,None,,,,,Antonella,001,2022-11-29_14h33.01.621,PruebaGabor2,2022.1.3,59.882606151269144,
4.22116599957891,122.13735369829,C,left,0.02110582999789455,19,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.82861349999439,None,left,1,0.86030020006001,108.92854150000494,None,109.81266830000095,None,,,,,Antonella,001,2022-11-29_14h33.01.621,PruebaGabor2,2022.1.3,59.882606151269144,
6.11705598061443,121.540320479946,D,right,0.03058527990307215,20,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.89553239999805,None,right,1,0.7132487000199035,110.99570029997267,None,111.73198529996444,None,,,,,Antonella,001,2022-11-29_14h33.01.621,PruebaGabor2,2022.1.3,59.882606151269144,
4.2846207486771,125.801264183768,C,left,0.0214231037433855,21,,,,,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.82993949996307,None,left,1,1.0829894000198692,112.92969090002589,None,114.02955840004142,None,,,,,Antonella,001,2022-11-29_14h33.01.621,PruebaGabor2,2022.1.3,59.882606151269144,
4.37852201017204,126.535788484538,C,left,0.0218926100508602,22,,,,,0,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.11390959995333,None,left,1,0.8880930999293923,115.21385269996244,None,116.1307594999671,None,,,,,Antonella,001,2022-11-29_14h33.01.621,PruebaGabor2,2022.1.3,59.882606151269144,
6.25567439145484,120.386903009811,D,right,0.031278371957274204,23,,,,,0,22,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.21435300004669,None,right,1,0.4502400999190286,117.31469729996752,None,117.7813923000358,None,,,,,Antonella,001,2022-11-29_14h33.01.621,PruebaGabor2,2022.1.3,59.882606151269144,
6.0523114968419,126.587300600186,D,right,0.030261557484209497,24,,,,,0,23,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.86652879999019,None,left,0,0.49538630002643913,118.9650804999983,None,119.48391069995705,None,,,,,Antonella,001,2022-11-29_14h33.01.621,PruebaGabor2,2022.1.3,59.882606151269144,
4.41260062834569,120.605664566821,C,left,0.022063003141728446,25,,,,,0,24,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.58221749996301,None,left,1,1.4267725999234244,120.68235769995954,None,122.13347879995126,None,,,,,Antonella,001,2022-11-29_14h33.01.621,PruebaGabor2,2022.1.3,59.882606151269144,
6.05216671415425,125.659198976421,D,right,0.03026083357077125,26,,,,,0,25,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.21646230004262,None,right,1,0.8881592999678105,123.31627099995967,None,124.23340200004168,None,,,,,Antonella,001,2022-11-29_14h33.01.621,PruebaGabor2,2022.1.3,59.882606151269144,
4.32002771151997,122.597908849441,C,left,0.02160013855759985,27,,,,,0,26,26,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.31703819998074,None,left,1,1.1797285999637097,125.41707930003759,None,126.61743840004783,None,,,,,Antonella,001,2022-11-29_14h33.01.621,PruebaGabor2,2022.1.3,59.882606151269144,
4.4141078478749,126.44408304964,C,left,0.0220705392393745,28,,,,,0,27,27,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.7010032000253,None,left,1,1.0199015999678522,127.80105730006471,None,128.8512906000251,None,,,,,Antonella,001,2022-11-29_14h33.01.621,PruebaGabor2,2022.1.3,59.882606151269144,
6.03637258606367,128.188400601382,D,right,0.030181862930318347,29,,,,,0,28,28,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.93544020003174,None,right,1,0.4506796000059694,130.03535250003915,None,130.51830510003492,None,,,,,Antonella,001,2022-11-29_14h33.01.621,PruebaGabor2,2022.1.3,59.882606151269144,
6.26944446025656,122.068591571108,D,right,0.0313472223012828,30,,,,,0,29,29,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.60252459999174,None,left,0,0.7656847999896854,131.70295730000362,None,132.49137209996115,None,,,,,Antonella,001,2022-11-29_14h33.01.621,PruebaGabor2,2022.1.3,59.882606151269144,
4.31643660305993,127.076288313079,C,left,0.021582183015299652,31,,,,,0,30,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.58622559998184,None,left,1,0.7024488999741152,133.68630169995595,None,134.419950600015,None,,,,,Antonella,001,2022-11-29_14h33.01.621,PruebaGabor2,2022.1.3,59.882606151269144,
4.47845249316683,127.405425974845,C,left,0.02239226246583415,32,,,,,0,31,31,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.50356430001557,None,left,1,1.3613168000010774,135.60341330000665,None,136.98726960003842,None,,,,,Antonella,001,2022-11-29_14h33.01.621,PruebaGabor2,2022.1.3,59.882606151269144,
4.32252191453473,125.478271501645,C,left,0.02161260957267365,33,,,,,0,32,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.07092510000803,None,left,1,0.5537984999828041,138.17096210003365,None,138.75449139997363,None,,,,,Antonella,001,2022-11-29_14h33.01.621,PruebaGabor2,2022.1.3,59.882606151269144,
6.06424450649709,117.681151191267,D,right,0.03032122253248545,34,,,,,0,33,33,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.83815590001177,None,right,1,0.5463569000130519,139.93821599998046,None,140.5048766999971,None,,,,,Antonella,001,2022-11-29_14h33.01.621,PruebaGabor2,2022.1.3,59.882606151269144,
4.1628173042171,127.790468810692,C,left,0.0208140865210855,35,,,,,0,34,34,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.58879830001388,None,left,1,0.5795151999918744,141.68876679998357,None,142.28898700000718,None,,,,,Antonella,001,2022-11-29_14h33.01.621,PruebaGabor2,2022.1.3,59.882606151269144,
6.13484279870489,128.500178513368,D,right,0.03067421399352445,36,,,,,0,35,35,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.3725777999498,None,right,1,0.49948380002751946,143.47277250001207,None,143.98945210000966,None,,,,,Antonella,001,2022-11-29_14h33.01.621,PruebaGabor2,2022.1.3,59.882606151269144,
6.26129079560863,125.582917609873,D,right,0.03130645397804315,37,,,,,0,36,36,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.07296639995184,None,left,0,0.7275764999212697,145.17347449995577,None,145.92422719998285,None,,,,,Antonella,001,2022-11-29_14h33.01.621,PruebaGabor2,2022.1.3,59.882606151269144,
5.97477017326031,127.520697622797,D,right,0.029873850866301548,38,,,,,0,37,37,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.00706590001937,None,right,1,0.60965070000384,147.10722220002208,None,147.74064360000193,None,,,,,Antonella,001,2022-11-29_14h33.01.621,PruebaGabor2,2022.1.3,59.882606151269144,
6.02325620617899,126.08527890341,D,right,0.03011628103089495,39,,,,,0,38,38,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.82443879998755,None,right,1,0.4162117999512702,148.92457729997113,None,149.35800260002725,None,,,,,Antonella,001,2022-11-29_14h33.01.621,PruebaGabor2,2022.1.3,59.882606151269144,
3.97132533899746,123.798042274339,C,left,0.0198566266949873,40,,,,,0,39,39,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.44186270004138,None,left,1,0.7193838000530377,150.54151230002753,None,151.29182859999128,None,,,,,Antonella,001,2022-11-29_14h33.01.621,PruebaGabor2,2022.1.3,59.882606151269144,
6.14124685632723,117.719249460613,D,right,0.03070623428163615,41,,,,,0,40,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.3755092000356,None,left,0,1.2335294999647886,152.4754373000469,None,153.7278393000597,None,,,,,Antonella,001,2022-11-29_14h33.01.621,PruebaGabor2,2022.1.3,59.882606151269144,
6.23855485536079,124.652024085624,D,right,0.03119277427680395,42,,,,,0,41,41,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.82630740001332,None,right,1,0.24586320004891604,154.9263269000221,None,155.19324249995407,None,,,,,Antonella,001,2022-11-29_14h33.01.621,PruebaGabor2,2022.1.3,59.882606151269144,
4.25387062484635,122.675875024657,C,left,0.021269353124231748,43,,,,,0,42,42,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.27667849999852,None,left,1,0.5242129999678582,156.3766230000183,None,156.9270190000534,None,,,,,Antonella,001,2022-11-29_14h33.01.621,PruebaGabor2,2022.1.3,59.882606151269144,
6.06123188422332,129.293499857027,D,right,0.0303061594211166,44,,,,,0,43,43,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.01065700000618,None,left,0,1.2933308000210673,158.11077969998587,None,159.4293961999938,None,,,,,Antonella,001,2022-11-29_14h33.01.621,PruebaGabor2,2022.1.3,59.882606151269144,
6.08562599220281,123.118203489292,D,right,0.03042812996101405,45,,,,,0,44,44,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.52786629996262,None,right,1,0.7765919000376016,160.62809080001898,None,161.42859599995427,None,,,,,Antonella,001,2022-11-29_14h33.01.621,PruebaGabor2,2022.1.3,59.882606151269144,
